processor, version, num_threads, iteration, time
processor, version, num_threads, iteration, time
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 8, 4, 2, 1.60809
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 8, 4, 3, 1.82712
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 8, 4, 4, 1.76703
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 8, 4, 5, 1.83345
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 8, 8, 1, 0.981633
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 8, 8, 2, 0.918653
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 8, 8, 3, 0.924742
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 8, 8, 4, 0.924167
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 8, 8, 5, 0.979239
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 8, 16, 1, 0.601002
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 8, 16, 2, 0.552269
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 8, 16, 3, 0.613802
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 8, 16, 4, 0.561356
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 8, 16, 5, 0.600062
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 8, 24, 1, 0.506159
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 8, 24, 2, 0.503165
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 8, 24, 3, 0.494732
 36xmodel name	: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz, 8, 24, 4, 0.513251
